,year,month,carrier,carrier_name,airport,arr_flights,arr_cancelled, arr_delay, carrier_delay,weather_delay,Airport,city
20165,2018,12,YX,Republic Airline,DEN,505.0,1.0,5248.0,1386.0,493.0, Denver International,"Denver, CO"
19737,2018,12,OO,SkyWest Airlines Inc.,LAX,2771.0,32.0,43488.0,13155.0,2887.0, Los Angeles International,"Los Angeles, CA"
19781,2018,12,OO,SkyWest Airlines Inc.,ORD,5467.0,82.0,112703.0,42652.0,3675.0, Chicago O'Hare International,"Chicago, IL"
19854,2018,12,UA,United Air Lines Inc.,ATL,337.0,0.0,2702.0,661.0,1.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
19874,2018,12,UA,United Air Lines Inc.,DEN,5281.0,8.0,39098.0,14013.0,1450.0, Denver International,"Denver, CO"
19875,2018,12,UA,United Air Lines Inc.,DFW,339.0,1.0,4429.0,1074.0,39.0, Dallas/Fort Worth International,Dallas
19901,2018,12,UA,United Air Lines Inc.,LAX,2418.0,0.0,28050.0,9908.0,521.0, Los Angeles International,"Los Angeles, CA"
19921,2018,12,UA,United Air Lines Inc.,ORD,6303.0,8.0,57088.0,18440.0,1233.0, Chicago O'Hare International,"Chicago, IL"
19957,2018,12,WN,Southwest Airlines Co.,ATL,3465.0,38.0,33444.0,10344.0,842.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
19975,2018,12,WN,Southwest Airlines Co.,DEN,5762.0,19.0,41597.0,17172.0,762.0, Denver International,"Denver, CO"
19993,2018,12,WN,Southwest Airlines Co.,LAX,3421.0,59.0,34559.0,11413.0,533.0, Los Angeles International,"Los Angeles, CA"
20042,2018,12,YV,Mesa Airlines Inc.,ATL,190.0,2.0,4702.0,2983.0,377.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
20069,2018,12,YV,Mesa Airlines Inc.,DFW,3185.0,143.0,66175.0,18073.0,6337.0, Dallas/Fort Worth International,Dallas
20143,2018,12,YX,Republic Airline,ATL,477.0,1.0,4203.0,1014.0,113.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
19258,2018,12,G4,Allegiant Air,LAX,123.0,1.0,1680.0,512.0,45.0, Los Angeles International,"Los Angeles, CA"
19676,2018,12,OO,SkyWest Airlines Inc.,DFW,1268.0,41.0,26220.0,8789.0,1263.0, Dallas/Fort Worth International,Dallas
19228,2018,12,G4,Allegiant Air,DEN,9.0,0.0,46.0,0.0,0.0, Denver International,"Denver, CO"
18814,2018,12,B6,JetBlue Airways,DEN,88.0,0.0,1200.0,503.0,0.0, Denver International,"Denver, CO"
19153,2018,12,F9,Frontier Airlines Inc.,LAX,55.0,1.0,361.0,200.0,0.0, Los Angeles International,"Los Angeles, CA"
20166,2018,12,YX,Republic Airline,DFW,320.0,0.0,3860.0,980.0,329.0, Dallas/Fort Worth International,Dallas
18508,2018,12,9E,Endeavor Air Inc.,ATL,3144.0,23.0,52771.0,12709.0,3309.0, Hartsfield-Jackson Atlanta International,"Atlanta, GA"
